Value,Label,Group,processed_at,record_id
Africa/Abidjan,Abidjan,Africa,2026-03-24 12:37:56,1
Africa/Accra,Accra,Africa,2026-03-24 12:37:56,2
Africa/Addis_Ababa,Addis Ababa,Africa,2026-03-24 12:37:56,3
Africa/Algiers,Algiers,Africa,2026-03-24 12:37:56,4
Africa/Asmara,Asmara,Africa,2026-03-24 12:37:56,5
Africa/Bamako,Bamako,Africa,2026-03-24 12:37:56,6
Africa/Bangui,Bangui,Africa,2026-03-24 12:37:56,7
Africa/Banjul,Banjul,Africa,2026-03-24 12:37:56,8
Africa/Bissau,Bissau,Africa,2026-03-24 12:37:56,9
Africa/Blantyre,Blantyre,Africa,2026-03-24 12:37:56,10
Africa/Brazzaville,Brazzaville,Africa,2026-03-24 12:37:56,11
Africa/Bujumbura,Bujumbura,Africa,2026-03-24 12:37:56,12
Africa/Cairo,Cairo,Africa,2026-03-24 12:37:56,13
Africa/Casablanca,Casablanca,Africa,2026-03-24 12:37:56,14
Africa/Ceuta,Ceuta,Africa,2026-03-24 12:37:56,15
Africa/Conakry,Conakry,Africa,2026-03-24 12:37:56,16
Africa/Dakar,Dakar,Africa,2026-03-24 12:37:56,17
Africa/Dar_es_Salaam,Dar es Salaam,Africa,2026-03-24 12:37:56,18
Africa/Djibouti,Djibouti,Africa,2026-03-24 12:37:56,19
Africa/Douala,Douala,Africa,2026-03-24 12:37:56,20
Africa/El_Aaiun,El Aaiun,Africa,2026-03-24 12:37:56,21
Africa/Freetown,Freetown,Africa,2026-03-24 12:37:56,22
Africa/Gaborone,Gaborone,Africa,2026-03-24 12:37:56,23
Africa/Harare,Harare,Africa,2026-03-24 12:37:56,24
Africa/Johannesburg,Johannesburg,Africa,2026-03-24 12:37:56,25
Africa/Juba,Juba,Africa,2026-03-24 12:37:56,26
Africa/Kampala,Kampala,Africa,2026-03-24 12:37:56,27
Africa/Khartoum,Khartoum,Africa,2026-03-24 12:37:56,28
Africa/Kigali,Kigali,Africa,2026-03-24 12:37:56,29
Africa/Kinshasa,Kinshasa,Africa,2026-03-24 12:37:56,30
Africa/Lagos,Lagos,Africa,2026-03-24 12:37:56,31
Africa/Libreville,Libreville,Africa,2026-03-24 12:37:56,32
Africa/Lome,Lome,Africa,2026-03-24 12:37:56,33
Africa/Luanda,Luanda,Africa,2026-03-24 12:37:56,34
Africa/Lubumbashi,Lubumbashi,Africa,2026-03-24 12:37:56,35
Africa/Lusaka,Lusaka,Africa,2026-03-24 12:37:56,36
Africa/Malabo,Malabo,Africa,2026-03-24 12:37:56,37
Africa/Maputo,Maputo,Africa,2026-03-24 12:37:56,38
Africa/Maseru,Maseru,Africa,2026-03-24 12:37:56,39
Africa/Mbabane,Mbabane,Africa,2026-03-24 12:37:56,40
Africa/Mogadishu,Mogadishu,Africa,2026-03-24 12:37:56,41
Africa/Monrovia,Monrovia,Africa,2026-03-24 12:37:56,42
Africa/Nairobi,Nairobi,Africa,2026-03-24 12:37:56,43
Africa/Ndjamena,Ndjamena,Africa,2026-03-24 12:37:56,44
Africa/Niamey,Niamey,Africa,2026-03-24 12:37:56,45
Africa/Nouakchott,Nouakchott,Africa,2026-03-24 12:37:56,46
Africa/Ouagadougou,Ouagadougou,Africa,2026-03-24 12:37:56,47
Africa/Porto-Novo,Porto-Novo,Africa,2026-03-24 12:37:56,48
Africa/Sao_Tome,Sao Tome,Africa,2026-03-24 12:37:56,49
Africa/Tripoli,Tripoli,Africa,2026-03-24 12:37:56,50
Africa/Tunis,Tunis,Africa,2026-03-24 12:37:56,51
Africa/Windhoek,Windhoek,Africa,2026-03-24 12:37:56,52
America/Adak,Adak,America,2026-03-24 12:37:56,53
America/Anchorage,Anchorage,America,2026-03-24 12:37:56,54
America/Anguilla,Anguilla,America,2026-03-24 12:37:56,55
America/Antigua,Antigua,America,2026-03-24 12:37:56,56
America/Araguaina,Araguaina,America,2026-03-24 12:37:56,57
America/Argentina/Buenos_Aires,Argentina - Buenos Aires,America,2026-03-24 12:37:56,58
America/Argentina/Catamarca,Argentina - Catamarca,America,2026-03-24 12:37:56,59
America/Argentina/Cordoba,Argentina - Cordoba,America,2026-03-24 12:37:56,60
America/Argentina/Jujuy,Argentina - Jujuy,America,2026-03-24 12:37:56,61
America/Argentina/La_Rioja,Argentina - La Rioja,America,2026-03-24 12:37:56,62
America/Argentina/Mendoza,Argentina - Mendoza,America,2026-03-24 12:37:56,63
America/Argentina/Rio_Gallegos,Argentina - Rio Gallegos,America,2026-03-24 12:37:56,64
America/Argentina/Salta,Argentina - Salta,America,2026-03-24 12:37:56,65
America/Argentina/San_Juan,Argentina - San Juan,America,2026-03-24 12:37:56,66
America/Argentina/San_Luis,Argentina - San Luis,America,2026-03-24 12:37:56,67
America/Argentina/Tucuman,Argentina - Tucuman,America,2026-03-24 12:37:56,68
America/Argentina/Ushuaia,Argentina - Ushuaia,America,2026-03-24 12:37:56,69
America/Aruba,Aruba,America,2026-03-24 12:37:56,70
America/Asuncion,Asuncion,America,2026-03-24 12:37:56,71
America/Atikokan,Atikokan,America,2026-03-24 12:37:56,72
America/Bahia,Bahia,America,2026-03-24 12:37:56,73
America/Bahia_Banderas,Bahia Banderas,America,2026-03-24 12:37:56,74
America/Barbados,Barbados,America,2026-03-24 12:37:56,75
America/Belem,Belem,America,2026-03-24 12:37:56,76
America/Belize,Belize,America,2026-03-24 12:37:56,77
America/Blanc-Sablon,Blanc-Sablon,America,2026-03-24 12:37:56,78
America/Boa_Vista,Boa Vista,America,2026-03-24 12:37:56,79
America/Bogota,Bogota,America,2026-03-24 12:37:56,80
America/Boise,Boise,America,2026-03-24 12:37:56,81
America/Cambridge_Bay,Cambridge Bay,America,2026-03-24 12:37:56,82
America/Campo_Grande,Campo Grande,America,2026-03-24 12:37:56,83
America/Cancun,Cancun,America,2026-03-24 12:37:56,84
America/Caracas,Caracas,America,2026-03-24 12:37:56,85
America/Cayenne,Cayenne,America,2026-03-24 12:37:56,86
America/Cayman,Cayman,America,2026-03-24 12:37:56,87
America/Chicago,Chicago,America,2026-03-24 12:37:56,88
America/Chihuahua,Chihuahua,America,2026-03-24 12:37:56,89
America/Costa_Rica,Costa Rica,America,2026-03-24 12:37:56,90
America/Creston,Creston,America,2026-03-24 12:37:56,91
America/Cuiaba,Cuiaba,America,2026-03-24 12:37:56,92
America/Curacao,Curacao,America,2026-03-24 12:37:56,93
America/Danmarkshavn,Danmarkshavn,America,2026-03-24 12:37:56,94
America/Dawson,Dawson,America,2026-03-24 12:37:56,95
America/Dawson_Creek,Dawson Creek,America,2026-03-24 12:37:56,96
America/Denver,Denver,America,2026-03-24 12:37:56,97
America/Detroit,Detroit,America,2026-03-24 12:37:56,98
America/Dominica,Dominica,America,2026-03-24 12:37:56,99
America/Edmonton,Edmonton,America,2026-03-24 12:37:56,100
America/Eirunepe,Eirunepe,America,2026-03-24 12:37:56,101
America/El_Salvador,El Salvador,America,2026-03-24 12:37:56,102
America/Fortaleza,Fortaleza,America,2026-03-24 12:37:56,103
America/Fort_Nelson,Fort Nelson,America,2026-03-24 12:37:56,104
America/Glace_Bay,Glace Bay,America,2026-03-24 12:37:56,105
America/Godthab,Godthab,America,2026-03-24 12:37:56,106
America/Goose_Bay,Goose Bay,America,2026-03-24 12:37:56,107
America/Grand_Turk,Grand Turk,America,2026-03-24 12:37:56,108
America/Grenada,Grenada,America,2026-03-24 12:37:56,109
America/Guadeloupe,Guadeloupe,America,2026-03-24 12:37:56,110
America/Guatemala,Guatemala,America,2026-03-24 12:37:56,111
America/Guayaquil,Guayaquil,America,2026-03-24 12:37:56,112
America/Guyana,Guyana,America,2026-03-24 12:37:56,113
America/Halifax,Halifax,America,2026-03-24 12:37:56,114
America/Havana,Havana,America,2026-03-24 12:37:56,115
America/Hermosillo,Hermosillo,America,2026-03-24 12:37:56,116
America/Indiana/Indianapolis,Indiana - Indianapolis,America,2026-03-24 12:37:56,117
America/Indiana/Knox,Indiana - Knox,America,2026-03-24 12:37:56,118
America/Indiana/Marengo,Indiana - Marengo,America,2026-03-24 12:37:56,119
America/Indiana/Petersburg,Indiana - Petersburg,America,2026-03-24 12:37:56,120
America/Indiana/Tell_City,Indiana - Tell City,America,2026-03-24 12:37:56,121
America/Indiana/Vevay,Indiana - Vevay,America,2026-03-24 12:37:56,122
America/Indiana/Vincennes,Indiana - Vincennes,America,2026-03-24 12:37:56,123
America/Indiana/Winamac,Indiana - Winamac,America,2026-03-24 12:37:56,124
America/Inuvik,Inuvik,America,2026-03-24 12:37:56,125
America/Iqaluit,Iqaluit,America,2026-03-24 12:37:56,126
America/Jamaica,Jamaica,America,2026-03-24 12:37:56,127
America/Juneau,Juneau,America,2026-03-24 12:37:56,128
America/Kentucky/Louisville,Kentucky - Louisville,America,2026-03-24 12:37:56,129
America/Kentucky/Monticello,Kentucky - Monticello,America,2026-03-24 12:37:56,130
America/Kralendijk,Kralendijk,America,2026-03-24 12:37:56,131
America/La_Paz,La Paz,America,2026-03-24 12:37:56,132
America/Lima,Lima,America,2026-03-24 12:37:56,133
America/Los_Angeles,Los Angeles,America,2026-03-24 12:37:56,134
America/Lower_Princes,Lower Princes,America,2026-03-24 12:37:56,135
America/Maceio,Maceio,America,2026-03-24 12:37:56,136
America/Managua,Managua,America,2026-03-24 12:37:56,137
America/Manaus,Manaus,America,2026-03-24 12:37:56,138
America/Marigot,Marigot,America,2026-03-24 12:37:56,139
America/Martinique,Martinique,America,2026-03-24 12:37:56,140
America/Matamoros,Matamoros,America,2026-03-24 12:37:56,141
America/Mazatlan,Mazatlan,America,2026-03-24 12:37:56,142
America/Menominee,Menominee,America,2026-03-24 12:37:56,143
America/Merida,Merida,America,2026-03-24 12:37:56,144
America/Metlakatla,Metlakatla,America,2026-03-24 12:37:56,145
America/Mexico_City,Mexico City,America,2026-03-24 12:37:56,146
America/Miquelon,Miquelon,America,2026-03-24 12:37:56,147
America/Moncton,Moncton,America,2026-03-24 12:37:56,148
America/Monterrey,Monterrey,America,2026-03-24 12:37:56,149
America/Montevideo,Montevideo,America,2026-03-24 12:37:56,150
America/Montserrat,Montserrat,America,2026-03-24 12:37:56,151
America/Nassau,Nassau,America,2026-03-24 12:37:56,152
America/New_York,New York,America,2026-03-24 12:37:56,153
America/Nipigon,Nipigon,America,2026-03-24 12:37:56,154
America/Nome,Nome,America,2026-03-24 12:37:56,155
America/Noronha,Noronha,America,2026-03-24 12:37:56,156
America/North_Dakota/Beulah,North Dakota - Beulah,America,2026-03-24 12:37:56,157
America/North_Dakota/Center,North Dakota - Center,America,2026-03-24 12:37:56,158
America/North_Dakota/New_Salem,North Dakota - New Salem,America,2026-03-24 12:37:56,159
America/Ojinaga,Ojinaga,America,2026-03-24 12:37:56,160
America/Panama,Panama,America,2026-03-24 12:37:56,161
America/Pangnirtung,Pangnirtung,America,2026-03-24 12:37:56,162
America/Paramaribo,Paramaribo,America,2026-03-24 12:37:56,163
America/Phoenix,Phoenix,America,2026-03-24 12:37:56,164
America/Port-au-Prince,Port-au-Prince,America,2026-03-24 12:37:56,165
America/Port_of_Spain,Port of Spain,America,2026-03-24 12:37:56,166
America/Porto_Velho,Porto Velho,America,2026-03-24 12:37:56,167
America/Puerto_Rico,Puerto Rico,America,2026-03-24 12:37:56,168
America/Punta_Arenas,Punta Arenas,America,2026-03-24 12:37:56,169
America/Rainy_River,Rainy River,America,2026-03-24 12:37:56,170
America/Rankin_Inlet,Rankin Inlet,America,2026-03-24 12:37:56,171
America/Recife,Recife,America,2026-03-24 12:37:56,172
America/Regina,Regina,America,2026-03-24 12:37:56,173
America/Resolute,Resolute,America,2026-03-24 12:37:56,174
America/Rio_Branco,Rio Branco,America,2026-03-24 12:37:56,175
America/Santarem,Santarem,America,2026-03-24 12:37:56,176
America/Santiago,Santiago,America,2026-03-24 12:37:56,177
America/Santo_Domingo,Santo Domingo,America,2026-03-24 12:37:56,178
America/Sao_Paulo,Sao Paulo,America,2026-03-24 12:37:56,179
America/Scoresbysund,Scoresbysund,America,2026-03-24 12:37:56,180
America/Sitka,Sitka,America,2026-03-24 12:37:56,181
America/St_Barthelemy,St Barthelemy,America,2026-03-24 12:37:56,182
America/St_Johns,St Johns,America,2026-03-24 12:37:56,183
America/St_Kitts,St Kitts,America,2026-03-24 12:37:56,184
America/St_Lucia,St Lucia,America,2026-03-24 12:37:56,185
America/St_Thomas,St Thomas,America,2026-03-24 12:37:56,186
America/St_Vincent,St Vincent,America,2026-03-24 12:37:56,187
America/Swift_Current,Swift Current,America,2026-03-24 12:37:56,188
America/Tegucigalpa,Tegucigalpa,America,2026-03-24 12:37:56,189
America/Thule,Thule,America,2026-03-24 12:37:56,190
America/Thunder_Bay,Thunder Bay,America,2026-03-24 12:37:56,191
America/Tijuana,Tijuana,America,2026-03-24 12:37:56,192
America/Toronto,Toronto,America,2026-03-24 12:37:56,193
America/Tortola,Tortola,America,2026-03-24 12:37:56,194
America/Vancouver,Vancouver,America,2026-03-24 12:37:56,195
