Value,Label,Group,processed_at,record_id
Africa/Abidjan,Abidjan,Africa,2026-03-24 13:35:09,1
Africa/Accra,Accra,Africa,2026-03-24 13:35:09,2
Africa/Addis_Ababa,Addis Ababa,Africa,2026-03-24 13:35:09,3
Africa/Algiers,Algiers,Africa,2026-03-24 13:35:09,4
Africa/Asmara,Asmara,Africa,2026-03-24 13:35:09,5
Africa/Bamako,Bamako,Africa,2026-03-24 13:35:09,6
Africa/Bangui,Bangui,Africa,2026-03-24 13:35:09,7
Africa/Banjul,Banjul,Africa,2026-03-24 13:35:09,8
Africa/Bissau,Bissau,Africa,2026-03-24 13:35:09,9
Africa/Blantyre,Blantyre,Africa,2026-03-24 13:35:09,10
Africa/Brazzaville,Brazzaville,Africa,2026-03-24 13:35:09,11
Africa/Bujumbura,Bujumbura,Africa,2026-03-24 13:35:09,12
Africa/Cairo,Cairo,Africa,2026-03-24 13:35:09,13
Africa/Casablanca,Casablanca,Africa,2026-03-24 13:35:09,14
Africa/Ceuta,Ceuta,Africa,2026-03-24 13:35:09,15
Africa/Conakry,Conakry,Africa,2026-03-24 13:35:09,16
Africa/Dakar,Dakar,Africa,2026-03-24 13:35:09,17
Africa/Dar_es_Salaam,Dar es Salaam,Africa,2026-03-24 13:35:09,18
Africa/Djibouti,Djibouti,Africa,2026-03-24 13:35:09,19
Africa/Douala,Douala,Africa,2026-03-24 13:35:09,20
Africa/El_Aaiun,El Aaiun,Africa,2026-03-24 13:35:09,21
Africa/Freetown,Freetown,Africa,2026-03-24 13:35:09,22
Africa/Gaborone,Gaborone,Africa,2026-03-24 13:35:09,23
Africa/Harare,Harare,Africa,2026-03-24 13:35:09,24
Africa/Johannesburg,Johannesburg,Africa,2026-03-24 13:35:09,25
Africa/Juba,Juba,Africa,2026-03-24 13:35:09,26
Africa/Kampala,Kampala,Africa,2026-03-24 13:35:09,27
Africa/Khartoum,Khartoum,Africa,2026-03-24 13:35:09,28
