Value,Label,Group,processed_at,record_id
Africa/Abidjan,Abidjan,Africa,2026-03-24 12:34:28,1
Africa/Accra,Accra,Africa,2026-03-24 12:34:28,2
Africa/Addis_Ababa,Addis Ababa,Africa,2026-03-24 12:34:28,3
Africa/Algiers,Algiers,Africa,2026-03-24 12:34:28,4
Africa/Asmara,Asmara,Africa,2026-03-24 12:34:28,5
Africa/Bamako,Bamako,Africa,2026-03-24 12:34:28,6
Africa/Bangui,Bangui,Africa,2026-03-24 12:34:28,7
Africa/Banjul,Banjul,Africa,2026-03-24 12:34:28,8
Africa/Bissau,Bissau,Africa,2026-03-24 12:34:28,9
Africa/Blantyre,Blantyre,Africa,2026-03-24 12:34:28,10
Africa/Brazzaville,Brazzaville,Africa,2026-03-24 12:34:28,11
Africa/Bujumbura,Bujumbura,Africa,2026-03-24 12:34:28,12
Africa/Cairo,Cairo,Africa,2026-03-24 12:34:28,13
Africa/Casablanca,Casablanca,Africa,2026-03-24 12:34:28,14
Africa/Ceuta,Ceuta,Africa,2026-03-24 12:34:28,15
Africa/Conakry,Conakry,Africa,2026-03-24 12:34:28,16
Africa/Dakar,Dakar,Africa,2026-03-24 12:34:28,17
Africa/Dar_es_Salaam,Dar es Salaam,Africa,2026-03-24 12:34:28,18
Africa/Djibouti,Djibouti,Africa,2026-03-24 12:34:28,19
Africa/Douala,Douala,Africa,2026-03-24 12:34:28,20
Africa/El_Aaiun,El Aaiun,Africa,2026-03-24 12:34:28,21
Africa/Freetown,Freetown,Africa,2026-03-24 12:34:28,22
Africa/Gaborone,Gaborone,Africa,2026-03-24 12:34:28,23
Africa/Harare,Harare,Africa,2026-03-24 12:34:28,24
Africa/Johannesburg,Johannesburg,Africa,2026-03-24 12:34:28,25
Africa/Juba,Juba,Africa,2026-03-24 12:34:28,26
Africa/Kampala,Kampala,Africa,2026-03-24 12:34:28,27
Africa/Khartoum,Khartoum,Africa,2026-03-24 12:34:28,28
Africa/Kigali,Kigali,Africa,2026-03-24 12:34:28,29
Africa/Kinshasa,Kinshasa,Africa,2026-03-24 12:34:28,30
Africa/Lagos,Lagos,Africa,2026-03-24 12:34:28,31
Africa/Libreville,Libreville,Africa,2026-03-24 12:34:28,32
Africa/Lome,Lome,Africa,2026-03-24 12:34:28,33
Africa/Luanda,Luanda,Africa,2026-03-24 12:34:28,34
Africa/Lubumbashi,Lubumbashi,Africa,2026-03-24 12:34:28,35
Africa/Lusaka,Lusaka,Africa,2026-03-24 12:34:28,36
Africa/Malabo,Malabo,Africa,2026-03-24 12:34:28,37
Africa/Maputo,Maputo,Africa,2026-03-24 12:34:28,38
Africa/Maseru,Maseru,Africa,2026-03-24 12:34:28,39
Africa/Mbabane,Mbabane,Africa,2026-03-24 12:34:28,40
Africa/Mogadishu,Mogadishu,Africa,2026-03-24 12:34:28,41
Africa/Monrovia,Monrovia,Africa,2026-03-24 12:34:28,42
Africa/Nairobi,Nairobi,Africa,2026-03-24 12:34:28,43
Africa/Ndjamena,Ndjamena,Africa,2026-03-24 12:34:28,44
Africa/Niamey,Niamey,Africa,2026-03-24 12:34:28,45
Africa/Nouakchott,Nouakchott,Africa,2026-03-24 12:34:28,46
Africa/Ouagadougou,Ouagadougou,Africa,2026-03-24 12:34:28,47
Africa/Porto-Novo,Porto-Novo,Africa,2026-03-24 12:34:28,48
Africa/Sao_Tome,Sao Tome,Africa,2026-03-24 12:34:28,49
Africa/Tripoli,Tripoli,Africa,2026-03-24 12:34:28,50
Africa/Tunis,Tunis,Africa,2026-03-24 12:34:28,51
Africa/Windhoek,Windhoek,Africa,2026-03-24 12:34:28,52
America/Adak,Adak,America,2026-03-24 12:34:28,53
America/Anchorage,Anchorage,America,2026-03-24 12:34:28,54
America/Anguilla,Anguilla,America,2026-03-24 12:34:28,55
America/Antigua,Antigua,America,2026-03-24 12:34:28,56
America/Araguaina,Araguaina,America,2026-03-24 12:34:28,57
America/Argentina/Buenos_Aires,Argentina - Buenos Aires,America,2026-03-24 12:34:28,58
America/Argentina/Catamarca,Argentina - Catamarca,America,2026-03-24 12:34:28,59
America/Argentina/Cordoba,Argentina - Cordoba,America,2026-03-24 12:34:28,60
America/Argentina/Jujuy,Argentina - Jujuy,America,2026-03-24 12:34:28,61
America/Argentina/La_Rioja,Argentina - La Rioja,America,2026-03-24 12:34:28,62
America/Argentina/Mendoza,Argentina - Mendoza,America,2026-03-24 12:34:28,63
America/Argentina/Rio_Gallegos,Argentina - Rio Gallegos,America,2026-03-24 12:34:28,64
America/Argentina/Salta,Argentina - Salta,America,2026-03-24 12:34:28,65
America/Argentina/San_Juan,Argentina - San Juan,America,2026-03-24 12:34:28,66
America/Argentina/San_Luis,Argentina - San Luis,America,2026-03-24 12:34:28,67
America/Argentina/Tucuman,Argentina - Tucuman,America,2026-03-24 12:34:28,68
America/Argentina/Ushuaia,Argentina - Ushuaia,America,2026-03-24 12:34:28,69
America/Aruba,Aruba,America,2026-03-24 12:34:28,70
America/Asuncion,Asuncion,America,2026-03-24 12:34:28,71
America/Atikokan,Atikokan,America,2026-03-24 12:34:28,72
America/Bahia,Bahia,America,2026-03-24 12:34:28,73
America/Bahia_Banderas,Bahia Banderas,America,2026-03-24 12:34:28,74
America/Barbados,Barbados,America,2026-03-24 12:34:28,75
America/Belem,Belem,America,2026-03-24 12:34:28,76
America/Belize,Belize,America,2026-03-24 12:34:28,77
America/Blanc-Sablon,Blanc-Sablon,America,2026-03-24 12:34:28,78
America/Boa_Vista,Boa Vista,America,2026-03-24 12:34:28,79
America/Bogota,Bogota,America,2026-03-24 12:34:28,80
America/Boise,Boise,America,2026-03-24 12:34:28,81
America/Cambridge_Bay,Cambridge Bay,America,2026-03-24 12:34:28,82
America/Campo_Grande,Campo Grande,America,2026-03-24 12:34:28,83
America/Cancun,Cancun,America,2026-03-24 12:34:28,84
America/Caracas,Caracas,America,2026-03-24 12:34:28,85
America/Cayenne,Cayenne,America,2026-03-24 12:34:28,86
America/Cayman,Cayman,America,2026-03-24 12:34:28,87
America/Chicago,Chicago,America,2026-03-24 12:34:28,88
America/Chihuahua,Chihuahua,America,2026-03-24 12:34:28,89
America/Costa_Rica,Costa Rica,America,2026-03-24 12:34:28,90
America/Creston,Creston,America,2026-03-24 12:34:28,91
America/Cuiaba,Cuiaba,America,2026-03-24 12:34:28,92
America/Curacao,Curacao,America,2026-03-24 12:34:28,93
America/Danmarkshavn,Danmarkshavn,America,2026-03-24 12:34:28,94
America/Dawson,Dawson,America,2026-03-24 12:34:28,95
America/Dawson_Creek,Dawson Creek,America,2026-03-24 12:34:28,96
America/Denver,Denver,America,2026-03-24 12:34:28,97
America/Detroit,Detroit,America,2026-03-24 12:34:28,98
America/Dominica,Dominica,America,2026-03-24 12:34:28,99
America/Edmonton,Edmonton,America,2026-03-24 12:34:28,100
