Value,Label,Group,processed_at,record_id
Africa/Abidjan,Abidjan,Africa,2026-09-20 09:58:34,1
Africa/Accra,Accra,Africa,2026-09-20 09:58:34,2
Africa/Addis_Ababa,Addis Ababa,Africa,2026-09-20 09:58:34,3
Africa/Algiers,Algiers,Africa,2026-09-20 09:58:34,4
Africa/Asmara,Asmara,Africa,2026-09-20 09:58:34,5
Africa/Bamako,Bamako,Africa,2026-09-20 09:58:34,6
Africa/Bangui,Bangui,Africa,2026-09-20 09:58:34,7
Africa/Banjul,Banjul,Africa,2026-09-20 09:58:34,8
Africa/Bissau,Bissau,Africa,2026-09-20 09:58:34,9
Africa/Blantyre,Blantyre,Africa,2026-09-20 09:58:34,10
Africa/Brazzaville,Brazzaville,Africa,2026-09-20 09:58:34,11
Africa/Bujumbura,Bujumbura,Africa,2026-09-20 09:58:34,12
Africa/Cairo,Cairo,Africa,2026-09-20 09:58:34,13
Africa/Casablanca,Casablanca,Africa,2026-09-20 09:58:34,14
Africa/Ceuta,Ceuta,Africa,2026-09-20 09:58:34,15
Africa/Conakry,Conakry,Africa,2026-09-20 09:58:34,16
Africa/Dakar,Dakar,Africa,2026-09-20 09:58:34,17
Africa/Dar_es_Salaam,Dar es Salaam,Africa,2026-09-20 09:58:34,18
Africa/Djibouti,Djibouti,Africa,2026-09-20 09:58:34,19
Africa/Douala,Douala,Africa,2026-09-20 09:58:34,20
Africa/El_Aaiun,El Aaiun,Africa,2026-09-20 09:58:34,21
Africa/Freetown,Freetown,Africa,2026-09-20 09:58:34,22
Africa/Gaborone,Gaborone,Africa,2026-09-20 09:58:34,23
Africa/Harare,Harare,Africa,2026-09-20 09:58:34,24
Africa/Johannesburg,Johannesburg,Africa,2026-09-20 09:58:34,25
Africa/Juba,Juba,Africa,2026-09-20 09:58:34,26
Africa/Kampala,Kampala,Africa,2026-09-20 09:58:34,27
Africa/Khartoum,Khartoum,Africa,2026-09-20 09:58:34,28
Africa/Kigali,Kigali,Africa,2026-09-20 09:58:34,29
Africa/Kinshasa,Kinshasa,Africa,2026-09-20 09:58:34,30
Africa/Lagos,Lagos,Africa,2026-09-20 09:58:34,31
Africa/Libreville,Libreville,Africa,2026-09-20 09:58:34,32
Africa/Lome,Lome,Africa,2026-09-20 09:58:34,33
Africa/Luanda,Luanda,Africa,2026-09-20 09:58:34,34
Africa/Lubumbashi,Lubumbashi,Africa,2026-09-20 09:58:34,35
Africa/Lusaka,Lusaka,Africa,2026-09-20 09:58:34,36
Africa/Malabo,Malabo,Africa,2026-09-20 09:58:34,37
Africa/Maputo,Maputo,Africa,2026-09-20 09:58:34,38
Africa/Maseru,Maseru,Africa,2026-09-20 09:58:34,39
Africa/Mbabane,Mbabane,Africa,2026-09-20 09:58:34,40
Africa/Mogadishu,Mogadishu,Africa,2026-09-20 09:58:34,41
Africa/Monrovia,Monrovia,Africa,2026-09-20 09:58:34,42
Africa/Nairobi,Nairobi,Africa,2026-09-20 09:58:34,43
Africa/Ndjamena,Ndjamena,Africa,2026-09-20 09:58:34,44
Africa/Niamey,Niamey,Africa,2026-09-20 09:58:34,45
Africa/Nouakchott,Nouakchott,Africa,2026-09-20 09:58:34,46
Africa/Ouagadougou,Ouagadougou,Africa,2026-09-20 09:58:34,47
Africa/Porto-Novo,Porto-Novo,Africa,2026-09-20 09:58:34,48
Africa/Sao_Tome,Sao Tome,Africa,2026-09-20 09:58:34,49
Africa/Tripoli,Tripoli,Africa,2026-09-20 09:58:34,50
Africa/Tunis,Tunis,Africa,2026-09-20 09:58:34,51
Africa/Windhoek,Windhoek,Africa,2026-09-20 09:58:34,52
America/Adak,Adak,America,2026-09-20 09:58:34,53
America/Anchorage,Anchorage,America,2026-09-20 09:58:34,54
America/Anguilla,Anguilla,America,2026-09-20 09:58:34,55
America/Antigua,Antigua,America,2026-09-20 09:58:34,56
America/Araguaina,Araguaina,America,2026-09-20 09:58:34,57
America/Argentina/Buenos_Aires,Argentina - Buenos Aires,America,2026-09-20 09:58:34,58
America/Argentina/Catamarca,Argentina - Catamarca,America,2026-09-20 09:58:34,59
America/Argentina/Cordoba,Argentina - Cordoba,America,2026-09-20 09:58:34,60
America/Argentina/Jujuy,Argentina - Jujuy,America,2026-09-20 09:58:34,61
America/Argentina/La_Rioja,Argentina - La Rioja,America,2026-09-20 09:58:34,62
America/Argentina/Mendoza,Argentina - Mendoza,America,2026-09-20 09:58:34,63
America/Argentina/Rio_Gallegos,Argentina - Rio Gallegos,America,2026-09-20 09:58:34,64
America/Argentina/Salta,Argentina - Salta,America,2026-09-20 09:58:34,65
America/Argentina/San_Juan,Argentina - San Juan,America,2026-09-20 09:58:34,66
America/Argentina/San_Luis,Argentina - San Luis,America,2026-09-20 09:58:34,67
America/Argentina/Tucuman,Argentina - Tucuman,America,2026-09-20 09:58:34,68
America/Argentina/Ushuaia,Argentina - Ushuaia,America,2026-09-20 09:58:34,69
America/Aruba,Aruba,America,2026-09-20 09:58:34,70
America/Asuncion,Asuncion,America,2026-09-20 09:58:34,71
America/Atikokan,Atikokan,America,2026-09-20 09:58:34,72
America/Bahia,Bahia,America,2026-09-20 09:58:34,73
America/Bahia_Banderas,Bahia Banderas,America,2026-09-20 09:58:34,74
America/Barbados,Barbados,America,2026-09-20 09:58:34,75
America/Belem,Belem,America,2026-09-20 09:58:34,76
America/Belize,Belize,America,2026-09-20 09:58:34,77
America/Blanc-Sablon,Blanc-Sablon,America,2026-09-20 09:58:34,78
America/Boa_Vista,Boa Vista,America,2026-09-20 09:58:34,79
America/Bogota,Bogota,America,2026-09-20 09:58:34,80
America/Boise,Boise,America,2026-09-20 09:58:34,81
America/Cambridge_Bay,Cambridge Bay,America,2026-09-20 09:58:34,82
America/Campo_Grande,Campo Grande,America,2026-09-20 09:58:34,83
America/Cancun,Cancun,America,2026-09-20 09:58:34,84
America/Caracas,Caracas,America,2026-09-20 09:58:34,85
America/Cayenne,Cayenne,America,2026-09-20 09:58:34,86
America/Cayman,Cayman,America,2026-09-20 09:58:34,87
America/Chicago,Chicago,America,2026-09-20 09:58:34,88
America/Chihuahua,Chihuahua,America,2026-09-20 09:58:34,89
America/Costa_Rica,Costa Rica,America,2026-09-20 09:58:34,90
America/Creston,Creston,America,2026-09-20 09:58:34,91
America/Cuiaba,Cuiaba,America,2026-09-20 09:58:34,92
America/Curacao,Curacao,America,2026-09-20 09:58:34,93
America/Danmarkshavn,Danmarkshavn,America,2026-09-20 09:58:34,94
America/Dawson,Dawson,America,2026-09-20 09:58:34,95
America/Dawson_Creek,Dawson Creek,America,2026-09-20 09:58:34,96
America/Denver,Denver,America,2026-09-20 09:58:34,97
America/Detroit,Detroit,America,2026-09-20 09:58:34,98
America/Dominica,Dominica,America,2026-09-20 09:58:34,99
America/Edmonton,Edmonton,America,2026-09-20 09:58:34,100
America/Eirunepe,Eirunepe,America,2026-09-20 09:58:34,101
America/El_Salvador,El Salvador,America,2026-09-20 09:58:34,102
America/Fortaleza,Fortaleza,America,2026-09-20 09:58:34,103
America/Fort_Nelson,Fort Nelson,America,2026-09-20 09:58:34,104
America/Glace_Bay,Glace Bay,America,2026-09-20 09:58:34,105
America/Godthab,Godthab,America,2026-09-20 09:58:34,106
America/Goose_Bay,Goose Bay,America,2026-09-20 09:58:34,107
America/Grand_Turk,Grand Turk,America,2026-09-20 09:58:34,108
America/Grenada,Grenada,America,2026-09-20 09:58:34,109
America/Guadeloupe,Guadeloupe,America,2026-09-20 09:58:34,110
America/Guatemala,Guatemala,America,2026-09-20 09:58:34,111
America/Guayaquil,Guayaquil,America,2026-09-20 09:58:34,112
America/Guyana,Guyana,America,2026-09-20 09:58:34,113
America/Halifax,Halifax,America,2026-09-20 09:58:34,114
America/Havana,Havana,America,2026-09-20 09:58:34,115
America/Hermosillo,Hermosillo,America,2026-09-20 09:58:34,116
America/Indiana/Indianapolis,Indiana - Indianapolis,America,2026-09-20 09:58:34,117
America/Indiana/Knox,Indiana - Knox,America,2026-09-20 09:58:34,118
America/Indiana/Marengo,Indiana - Marengo,America,2026-09-20 09:58:34,119
America/Indiana/Petersburg,Indiana - Petersburg,America,2026-09-20 09:58:34,120
America/Indiana/Tell_City,Indiana - Tell City,America,2026-09-20 09:58:34,121
America/Indiana/Vevay,Indiana - Vevay,America,2026-09-20 09:58:34,122
America/Indiana/Vincennes,Indiana - Vincennes,America,2026-09-20 09:58:34,123
America/Indiana/Winamac,Indiana - Winamac,America,2026-09-20 09:58:34,124
America/Inuvik,Inuvik,America,2026-09-20 09:58:34,125
America/Iqaluit,Iqaluit,America,2026-09-20 09:58:34,126
America/Jamaica,Jamaica,America,2026-09-20 09:58:34,127
America/Juneau,Juneau,America,2026-09-20 09:58:34,128
America/Kentucky/Louisville,Kentucky - Louisville,America,2026-09-20 09:58:34,129
America/Kentucky/Monticello,Kentucky - Monticello,America,2026-09-20 09:58:34,130
America/Kralendijk,Kralendijk,America,2026-09-20 09:58:34,131
America/La_Paz,La Paz,America,2026-09-20 09:58:34,132
America/Lima,Lima,America,2026-09-20 09:58:34,133
America/Los_Angeles,Los Angeles,America,2026-09-20 09:58:34,134
America/Lower_Princes,Lower Princes,America,2026-09-20 09:58:34,135
America/Maceio,Maceio,America,2026-09-20 09:58:34,136
America/Managua,Managua,America,2026-09-20 09:58:34,137
America/Manaus,Manaus,America,2026-09-20 09:58:34,138
America/Marigot,Marigot,America,2026-09-20 09:58:34,139
America/Martinique,Martinique,America,2026-09-20 09:58:34,140
America/Matamoros,Matamoros,America,2026-09-20 09:58:34,141
America/Mazatlan,Mazatlan,America,2026-09-20 09:58:34,142
America/Menominee,Menominee,America,2026-09-20 09:58:34,143
America/Merida,Merida,America,2026-09-20 09:58:34,144
America/Metlakatla,Metlakatla,America,2026-09-20 09:58:34,145
America/Mexico_City,Mexico City,America,2026-09-20 09:58:34,146
America/Miquelon,Miquelon,America,2026-09-20 09:58:34,147
America/Moncton,Moncton,America,2026-09-20 09:58:34,148
America/Monterrey,Monterrey,America,2026-09-20 09:58:34,149
America/Montevideo,Montevideo,America,2026-09-20 09:58:34,150
America/Montserrat,Montserrat,America,2026-09-20 09:58:34,151
America/Nassau,Nassau,America,2026-09-20 09:58:34,152
America/New_York,New York,America,2026-09-20 09:58:34,153
America/Nipigon,Nipigon,America,2026-09-20 09:58:34,154
America/Nome,Nome,America,2026-09-20 09:58:34,155
America/Noronha,Noronha,America,2026-09-20 09:58:34,156
America/North_Dakota/Beulah,North Dakota - Beulah,America,2026-09-20 09:58:34,157
America/North_Dakota/Center,North Dakota - Center,America,2026-09-20 09:58:34,158
America/North_Dakota/New_Salem,North Dakota - New Salem,America,2026-09-20 09:58:34,159
America/Ojinaga,Ojinaga,America,2026-09-20 09:58:34,160
America/Panama,Panama,America,2026-09-20 09:58:34,161
America/Pangnirtung,Pangnirtung,America,2026-09-20 09:58:34,162
America/Paramaribo,Paramaribo,America,2026-09-20 09:58:34,163
America/Phoenix,Phoenix,America,2026-09-20 09:58:34,164
America/Port-au-Prince,Port-au-Prince,America,2026-09-20 09:58:34,165
America/Port_of_Spain,Port of Spain,America,2026-09-20 09:58:34,166
America/Porto_Velho,Porto Velho,America,2026-09-20 09:58:34,167
America/Puerto_Rico,Puerto Rico,America,2026-09-20 09:58:34,168
America/Punta_Arenas,Punta Arenas,America,2026-09-20 09:58:34,169
America/Rainy_River,Rainy River,America,2026-09-20 09:58:34,170
America/Rankin_Inlet,Rankin Inlet,America,2026-09-20 09:58:34,171
America/Recife,Recife,America,2026-09-20 09:58:34,172
America/Regina,Regina,America,2026-09-20 09:58:34,173
America/Resolute,Resolute,America,2026-09-20 09:58:34,174
America/Rio_Branco,Rio Branco,America,2026-09-20 09:58:34,175
America/Santarem,Santarem,America,2026-09-20 09:58:34,176
America/Santiago,Santiago,America,2026-09-20 09:58:34,177
America/Santo_Domingo,Santo Domingo,America,2026-09-20 09:58:34,178
America/Sao_Paulo,Sao Paulo,America,2026-09-20 09:58:34,179
America/Scoresbysund,Scoresbysund,America,2026-09-20 09:58:34,180
America/Sitka,Sitka,America,2026-09-20 09:58:34,181
America/St_Barthelemy,St Barthelemy,America,2026-09-20 09:58:34,182
America/St_Johns,St Johns,America,2026-09-20 09:58:34,183
America/St_Kitts,St Kitts,America,2026-09-20 09:58:34,184
America/St_Lucia,St Lucia,America,2026-09-20 09:58:34,185
America/St_Thomas,St Thomas,America,2026-09-20 09:58:34,186
America/St_Vincent,St Vincent,America,2026-09-20 09:58:34,187
America/Swift_Current,Swift Current,America,2026-09-20 09:58:34,188
America/Tegucigalpa,Tegucigalpa,America,2026-09-20 09:58:34,189
America/Thule,Thule,America,2026-09-20 09:58:34,190
America/Thunder_Bay,Thunder Bay,America,2026-09-20 09:58:34,191
America/Tijuana,Tijuana,America,2026-09-20 09:58:34,192
America/Toronto,Toronto,America,2026-09-20 09:58:34,193
America/Tortola,Tortola,America,2026-09-20 09:58:34,194
America/Vancouver,Vancouver,America,2026-09-20 09:58:34,195
America/Whitehorse,Whitehorse,America,2026-09-20 09:58:34,196
America/Winnipeg,Winnipeg,America,2026-09-20 09:58:34,197
America/Yakutat,Yakutat,America,2026-09-20 09:58:34,198
America/Yellowknife,Yellowknife,America,2026-09-20 09:58:34,199
Antarctica/Casey,Casey,Antarctica,2026-09-20 09:58:34,200
Antarctica/Davis,Davis,Antarctica,2026-09-20 09:58:34,201
Antarctica/DumontDUrville,DumontDUrville,Antarctica,2026-09-20 09:58:34,202
Antarctica/Macquarie,Macquarie,Antarctica,2026-09-20 09:58:34,203
Antarctica/Mawson,Mawson,Antarctica,2026-09-20 09:58:34,204
Antarctica/McMurdo,McMurdo,Antarctica,2026-09-20 09:58:34,205
Antarctica/Palmer,Palmer,Antarctica,2026-09-20 09:58:34,206
Antarctica/Rothera,Rothera,Antarctica,2026-09-20 09:58:34,207
Antarctica/Syowa,Syowa,Antarctica,2026-09-20 09:58:34,208
Antarctica/Troll,Troll,Antarctica,2026-09-20 09:58:34,209
Antarctica/Vostok,Vostok,Antarctica,2026-09-20 09:58:34,210
Arctic/Longyearbyen,Longyearbyen,Arctic,2026-09-20 09:58:34,211
Asia/Aden,Aden,Asia,2026-09-20 09:58:34,212
Asia/Almaty,Almaty,Asia,2026-09-20 09:58:34,213
Asia/Amman,Amman,Asia,2026-09-20 09:58:34,214
Asia/Anadyr,Anadyr,Asia,2026-09-20 09:58:34,215
Asia/Aqtau,Aqtau,Asia,2026-09-20 09:58:34,216
Asia/Aqtobe,Aqtobe,Asia,2026-09-20 09:58:34,217
Asia/Ashgabat,Ashgabat,Asia,2026-09-20 09:58:34,218
Asia/Atyrau,Atyrau,Asia,2026-09-20 09:58:34,219
Asia/Baghdad,Baghdad,Asia,2026-09-20 09:58:34,220
Asia/Bahrain,Bahrain,Asia,2026-09-20 09:58:34,221
